MHK,90.26,08/14/2020 16:00:01 EDT,87.96,08/14/2020 00:00:00 EDT,1.25,1.40
CI,183.4,08/14/2020 16:00:01 EDT,179.66,08/14/2020 00:00:00 EDT,2.52,1.39
WLTW,201.51,08/14/2020 16:00:01 EDT,198.41,08/14/2020 00:00:00 EDT,2.76,1.39
WHR,180.93,08/14/2020 16:03:44 EDT,179.12,08/14/2020 00:00:00 EDT,2.47,1.38
ULTA,225.42,08/14/2020 16:00:01 EDT,222.52,08/14/2020 00:00:00 EDT,3.00,1.35
HBAN,9.9,08/14/2020 16:00:01 EDT,9.73,08/14/2020 00:00:00 EDT,0.13,1.33
TJX,57.87,08/14/2020 16:04:07 EDT,57.05,08/14/2020 00:00:00 EDT,0.76,1.33
AON,197.2,08/14/2020 16:03:56 EDT,194.72,08/14/2020 00:00:00 EDT,2.53,1.30
APA,15.62,08/14/2020 16:00:01 EDT,15.24,08/14/2020 00:00:00 EDT,0.20,1.30
IRM,29.74,08/14/2020 16:05:04 EDT,29.27,08/14/2020 00:00:00 EDT,0.38,1.29
RF,11.77,08/14/2020 16:00:01 EDT,11.5,08/14/2020 00:00:00 EDT,0.15,1.29
MTB,109.21,08/14/2020 16:03:39 EDT,107.0,08/14/2020 00:00:00 EDT,1.38,1.28
TGT,136.53,08/14/2020 16:02:22 EDT,135.92,08/14/2020 00:00:00 EDT,1.72,1.28
CF,35.1,08/14/2020 16:03:08 EDT,34.64,08/14/2020 00:00:00 EDT,0.44,1.27
MAC,8.0,08/14/2020 16:00:01 EDT,7.85,08/14/2020 00:00:00 EDT,0.1,1.27
SCHW,35.05,08/14/2020 16:00:01 EDT,34.45,08/14/2020 00:00:00 EDT,0.44,1.27
DG,198.55,08/14/2020 16:04:37 EDT,196.41,08/14/2020 00:00:00 EDT,2.47,1.26
STI,70.13,12/06/2019 16:02:16 EST,70.17,08/14/2020 00:00:00 EDT,0.87,1.26
RJF,75.98,08/14/2020 16:04:11 EDT,74.43,08/14/2020 00:00:00 EDT,0.90,1.20
KLAC,211.51,08/14/2020 16:00:01 EDT,210.08,08/14/2020 00:00:00 EDT,2.45,1.17
EOG,47.97,08/14/2020 16:00:01 EDT,47.35,08/14/2020 00:00:00 EDT,0.55,1.16
UNP,191.92,08/14/2020 16:00:01 EDT,189.59,08/14/2020 00:00:00 EDT,2.20,1.16
EXR,104.21,08/14/2020 16:02:38 EDT,103.03,08/14/2020 00:00:00 EDT,1.18,1.15
GM,27.86,08/14/2020 16:00:02 EDT,27.29,08/14/2020 00:00:00 EDT,0.31,1.13
WFC,25.3,08/14/2020 16:02:19 EDT,24.79,08/14/2020 00:00:00 EDT,0.28,1.12
CME,171.44,08/14/2020 16:00:01 EDT,169.11,08/14/2020 00:00:00 EDT,1.87,1.10
USB,37.78,08/14/2020 16:00:01 EDT,37.01,08/14/2020 00:00:00 EDT,0.41,1.10
HBI,15.77,08/14/2020 16:00:02 EDT,15.58,08/14/2020 00:00:00 EDT,0.17,1.09
NSC,206.61,08/14/2020 16:03:17 EDT,204.25,08/14/2020 00:00:00 EDT,2.23,1.09
AIV,36.61,08/14/2020 16:04:57 EDT,36.15,08/14/2020 00:00:00 EDT,0.39,1.08
PBCT,11.36,08/14/2020 16:00:01 EDT,11.17,08/14/2020 00:00:00 EDT,0.12,1.07
ALXN,102.97,08/14/2020 16:00:01 EDT,101.18,08/14/2020 00:00:00 EDT,1.08,1.06
FITB,20.96,08/14/2020 16:00:01 EDT,20.63,08/14/2020 00:00:00 EDT,0.22,1.06
NVDA,462.56,08/14/2020 16:00:01 EDT,461.2,08/14/2020 00:00:00 EDT,4.84,1.06
ROST,94.06,08/14/2020 16:00:01 EDT,93.2,08/14/2020 00:00:00 EDT,0.99,1.06
UAL,36.18,08/14/2020 16:00:01 EDT,35.35,08/14/2020 00:00:00 EDT,0.37,1.03
NOC,342.06,08/14/2020 16:00:01 EDT,337.28,08/14/2020 00:00:00 EDT,3.44,1.02
SLB,20.07,08/14/2020 16:00:01 EDT,19.67,08/14/2020 00:00:00 EDT,0.20,1.01
OMC,54.85,08/14/2020 16:00:01 EDT,53.94,08/14/2020 00:00:00 EDT,0.53,0.98
GD,156.46,08/14/2020 16:00:01 EDT,154.11,08/14/2020 00:00:00 EDT,1.51,0.97
JEC,85.84,12/09/2019 16:03:17 EST,84.79,08/14/2020 00:00:00 EDT,0.82,0.96
KEY,12.75,08/14/2020 16:00:01 EDT,12.5,08/14/2020 00:00:00 EDT,0.12,0.95
UNM,19.05,08/14/2020 16:00:01 EDT,18.65,08/14/2020 00:00:00 EDT,0.18,0.95
CXO,51.26,08/14/2020 16:00:01 EDT,50.53,08/14/2020 00:00:00 EDT,0.47,0.93
NTRS,83.42,08/14/2020 16:00:01 EDT,82.69,08/14/2020 00:00:00 EDT,0.77,0.93
SYF,24.93,08/14/2020 16:00:01 EDT,24.4,08/14/2020 00:00:00 EDT,0.23,0.93
REG,42.88,08/14/2020 16:00:01 EDT,42.4,08/14/2020 00:00:00 EDT,0.39,0.92
AIG,30.99,08/14/2020 16:00:01 EDT,30.38,08/14/2020 00:00:00 EDT,0.28,0.91
GE,6.66,08/14/2020 16:00:01 EDT,6.54,08/14/2020 00:00:00 EDT,0.06,0.91
UPS,160.74,08/14/2020 16:04:29 EDT,158.73,08/14/2020 00:00:00 EDT,1.45,0.91
UDR,35.02,08/14/2020 16:00:01 EDT,34.64,08/14/2020 00:00:00 EDT,0.31,0.89
CMCSA,43.77,08/14/2020 16:00:01 EDT,43.62,08/14/2020 00:00:00 EDT,0.38,0.88
CPB,51.63,08/14/2020 16:00:01 EDT,51.29,08/14/2020 00:00:00 EDT,0.45,0.88
DAL,28.95,08/14/2020 16:00:02 EDT,28.3,08/14/2020 00:00:00 EDT,0.25,0.87
HAS,79.63,08/14/2020 16:00:01 EDT,79.35,08/14/2020 00:00:00 EDT,0.69,0.87
ALB,92.39,08/14/2020 16:00:01 EDT,91.32,08/14/2020 00:00:00 EDT,0.79,0.86
DE,191.13,08/14/2020 16:00:01 EDT,189.22,08/14/2020 00:00:00 EDT,1.63,0.86
AFL,38.07,08/14/2020 16:00:01 EDT,37.48,08/14/2020 00:00:00 EDT,0.32,0.85
WU,23.64,08/14/2020 16:04:27 EDT,23.37,08/14/2020 00:00:00 EDT,0.20,0.85
PH,209.62,08/14/2020 16:00:01 EDT,206.06,08/14/2020 00:00:00 EDT,1.72,0.83
AMG,72.94,08/14/2020 16:00:01 EDT,71.74,08/14/2020 00:00:00 EDT,0.59,0.82
CFG,25.9,08/14/2020 16:00:01 EDT,25.41,08/14/2020 00:00:00 EDT,0.21,0.82
HIG,42.81,08/14/2020 16:02:56 EDT,42.14,08/14/2020 00:00:00 EDT,0.35,0.82
HON,160.28,08/14/2020 16:02:53 EDT,158.0,08/14/2020 00:00:00 EDT,1.30,0.82
IR,35.4,08/14/2020 16:03:06 EDT,34.85,08/14/2020 00:00:00 EDT,0.28,0.80
DLR,153.32,08/14/2020 16:00:01 EDT,152.37,08/14/2020 00:00:00 EDT,1.18,0.78
RL,70.66,08/14/2020 16:04:15 EDT,69.44,08/14/2020 00:00:00 EDT,0.53,0.76
AZO,1196.05,08/14/2020 16:00:01 EDT,1190.07,08/14/2020 00:00:00 EDT,8.91,0.75
PFG,45.22,08/14/2020 16:00:01 EDT,44.6,08/14/2020 00:00:00 EDT,0.335,0.75
TDG,498.79,08/14/2020 16:00:02 EDT,491.17,08/14/2020 00:00:00 EDT,3.64,0.74
FLIR,37.8,08/14/2020 16:00:01 EDT,37.79,08/14/2020 00:00:00 EDT,0.27,0.72
PXD,110.73,08/14/2020 16:00:01 EDT,108.95,08/14/2020 00:00:00 EDT,0.79,0.72
FTI,8.64,08/14/2020 16:02:54 EDT,8.39,08/14/2020 00:00:00 EDT,0.06,0.70
NOV,13.12,08/14/2020 16:00:01 EDT,12.91,08/14/2020 00:00:00 EDT,0.09,0.69
INTC,48.89,08/14/2020 16:00:01 EDT,48.73,08/14/2020 00:00:00 EDT,0.33,0.68
UNH,323.7,08/14/2020 16:00:01 EDT,320.54,08/14/2020 00:00:00 EDT,2.18,0.68
BK,37.53,08/14/2020 16:02:57 EDT,37.12,08/14/2020 00:00:00 EDT,0.25,0.67
CINF,80.11,08/14/2020 16:00:01 EDT,79.61,08/14/2020 00:00:00 EDT,0.53,0.67
PNC,111.75,08/14/2020 16:00:01 EDT,109.8,08/14/2020 00:00:00 EDT,0.74,0.67
ZION,34.49,08/14/2020 16:00:01 EDT,33.82,08/14/2020 00:00:00 EDT,0.23,0.67
FOXA,25.74,08/14/2020 16:00:01 EDT,25.59,08/14/2020 00:00:00 EDT,0.17,0.66
VFC,64.24,08/14/2020 16:00:01 EDT,63.39,08/14/2020 00:00:00 EDT,0.41,0.64
HPE,9.67,08/14/2020 16:02:58 EDT,9.55,08/14/2020 00:00:00 EDT,0.06,0.62
DVA,82.17,08/14/2020 16:00:01 EDT,81.41,08/14/2020 00:00:00 EDT,0.50,0.61
HUM,422.02,08/14/2020 16:03:20 EDT,417.37,08/14/2020 00:00:00 EDT,2.52,0.60
PDCO,26.92,08/14/2020 16:00:01 EDT,26.68,08/14/2020 00:00:00 EDT,0.16,0.60
CVX,90.35,08/14/2020 16:02:35 EDT,89.0,08/14/2020 00:00:00 EDT,0.53,0.59
HLT,86.0,08/14/2020 16:02:56 EDT,85.89,08/14/2020 00:00:00 EDT,0.5,0.58
VNO,35.58,08/14/2020 16:00:01 EDT,35.25,08/14/2020 00:00:00 EDT,0.20,0.57
WMT,132.6,08/14/2020 16:00:01 EDT,132.34,08/14/2020 00:00:00 EDT,0.75,0.57
AYI,109.04,08/14/2020 16:00:01 EDT,107.13,08/14/2020 00:00:00 EDT,0.61,0.56
LMT,391.42,08/14/2020 16:04:43 EDT,388.64,08/14/2020 00:00:00 EDT,2.18,0.56
LUV,34.9,08/14/2020 16:00:01 EDT,34.3,08/14/2020 00:00:00 EDT,0.19,0.55
URI,179.33,08/14/2020 16:00:01 EDT,177.79,08/14/2020 00:00:00 EDT,0.96,0.54
FLS,31.98,08/14/2020 16:02:48 EDT,31.41,08/14/2020 00:00:00 EDT,0.17,0.53
APD,289.82,08/14/2020 16:00:01 EDT,288.42,08/14/2020 00:00:00 EDT,1.51,0.52
JCI,40.86,08/14/2020 16:00:01 EDT,40.38,08/14/2020 00:00:00 EDT,0.21,0.52
AIZ,125.07,08/14/2020 16:00:01 EDT,123.24,08/14/2020 00:00:00 EDT,0.63,0.51
FOX,25.82,08/14/2020 16:00:01 EDT,25.67,08/14/2020 00:00:00 EDT,0.13,0.51
LKQ,31.49,08/14/2020 16:00:01 EDT,31.21,08/14/2020 00:00:00 EDT,0.16,0.51
PCAR,88.95,08/14/2020 16:00:01 EDT,88.5,08/14/2020 00:00:00 EDT,0.45,0.51
GIS,63.27,08/14/2020 16:00:02 EDT,63.11,08/14/2020 00:00:00 EDT,0.30,0.48
ORLY,463.55,08/14/2020 16:00:01 EDT,461.1,08/14/2020 00:00:00 EDT,2.21,0.48
COP,40.82,08/14/2020 16:00:01 EDT,40.22,08/14/2020 00:00:00 EDT,0.19,0.47
